TXNOMBRE;TXDESCRIPCIONCORTA;TXENLACE;FECREA
Estado de la Solicitud de Justificación y/o Dispensa Electoral;Consulta el estado del trámite de justificación y/o dispensa;https://portal.jne.gob.pe/portal/Pagina/Ver/215/page/Estado-de-tramite;2/07/2020 17:28
Estado de la Solicitud de Acceso a la Información Pública;Consulta de solicitud de acceso a la información pública.;https://web.jne.gob.pe/saip/consulta;2/07/2020 17:28
Estado del Trámite de Renuncia a Partido Político;Consulta el estado del trámite de renuncia o desafiliación;https://sroppublico.jne.gob.pe/Consulta/Renuncia;2/07/2020 17:28
Solicitud de Acceso a la Información Pública;Permite el ingreso de la solicitud de acceso a la información pública.;https://web.jne.gob.pe/saip/paso;2/07/2020 17:28
Formulario de Consultas Ciudadana - Contáctenos;Permite canalizar las consultas mediante el llenado de un formulario.;https://portal.jne.gob.pe/portal/Pagina/contactenos;2/07/2020 17:28
Mesa de Partes Virtual;Permite presentar trámites a JNE   de manera  virtual;https://mesapartesvirtual.jne.gob.pe/principal;08/21/2020 09:07:22
Consulta de Observadores Electorales;Consulta la lista de observadores nacionales e internacionales participantes de los últimos procesos electorales.;https://plataformaelectoral.jne.gob.pe/ProcesoElectoralVigente/Observadores;2/07/2020 17:28
Buscador de Jurisprudencia Electoral;Buscador de jurisprudencia según el procedimiento y el año de resolución.;https://jurisprudencia.jne.gob.pe/home/selector;2/07/2020 17:28
Búsqueda Histórica de Procesos Electorales;Consulta la información electoral más completa sobre políticos, localidades, organizaciones políticas y procesos electorales realizados desde 1931.;https://infogob.jne.gob.pe/;2/07/2020 17:28
Consulta de Multas Electorales;Consulta tus multas electorales y el importe de tu deuda.;https://multas.jne.gob.pe/;2/07/2020 17:28
Convocatoria de Personal;Entérate de las convocatorias para la contratación de personal D.L.728, CAS, practicantes y locadores de servicios y realiza tu postulación de manera virtual.;https://portal.jne.gob.pe/portal/pagina/convocatorias;2/07/2020 17:28
Descarga de Estadística Electoral;Descarga nuestras estadísticas electorales;https://portal.jne.gob.pe/portal/Pagina/Ver/353/page/Estadistica-Electoral;2/07/2020 17:28
Descarga de Material Didáctico Electoral para Escolares;Descarga material didáctico electoral para escolares;https://dnef.jne.gob.pe/lineas-de-trabajo/zonaEducativa;2/07/2020 17:28
Tasas en Materia Electoral;Descargue la Tabla de tasas en materia electoral;https://portal.jne.gob.pe/portal/Pagina/Ver/73/page/Tabla-de-Tasas-en-Materia-Electoral ;2/07/2020 17:28
Notificación de Atención de Soporte;Sistema que registra las incidencias reportadas por los usuarios de los distintos sistemas y por los ciudadanos;https://soporte.jne.gob.pe/Ciudadania/ssol-incidencias.aspx;2/07/2020 17:28
Visita Virtual al Museo Electoral;Recorre el Museo Electoral y de la Democracia de manera virtual y conoce el patrimonio cultural relacionado con la historia electoral del Perú.;https://museoelectoral.jne.gob.pe/;2/07/2020 17:28
Observa Igualdad;Plataforma para la participación política en democracia;https://observaigualdad.jne.gob.pe/;12/14/2020 14:27:52
Consulta de Registro Electoral de Encuestadoras;Consulta el estado de inscripción de las encuestadoras ante el Jurado Nacional de Elecciones.;https://web.jne.gob.pe/encuestadoras;2/07/2020 17:28
Consulta de Autoridades Vigentes;Consulta que permite conocer a las autoridades vigentes por ubigeo, DNI, o nombres, sus hojas de vida y planes de gobierno.;https://cej.jne.gob.pe/Autoridades;2/07/2020 17:28
Consulta de Autoridades Proclamadas;Consulta las listas de candidatos, hojas de vida y los planes de gobierno;https://plataformaelectoral.jne.gob.pe/expedientes/busqueda-autoridad/buscar;2/07/2020 17:28
Consulta de Resoluciones o Pronunciamientos;Consulta de Resoluciones o Pronunciamientos ;https://plataformaelectoral.jne.gob.pe/expedientes/resolucion-pronunciamiento/buscar;2/07/2020 17:28
